label_id	name	acronym	cell_count	label_volume_pixels
110	Paraventricular_hypothalamic_nucleus_parvicellular_division_periventricular_part	PVHpv	0	0
111	Agranular_insular_area_posterior_part	AIp	0	0
112	Granular_lamina_of_the_cochlear_nuclei	CNlam	0	0
113	Primary_somatosensory_area_lower_limb_layer_2/3	SSp-ll2/3	574	1379340
114	Superior_olivary_complex_lateral_part	SOCl	239	563760
115	Trochlear_nucleus	IV	2	41760
116	choroid_fissure	chfl	0	0
117	optic_chiasm	och	197	776808
118	Periventricular_hypothalamic_nucleus_intermediate_part	PVi	259	530010
119	Agranular_insular_area_ventral_part	AIv	0	0
120	Agranular_insular_area_posterior_part_layer_1	AIp1	628	1516968
121	Lateral_visual_area_layer_6b	VISl6b	125	171720
122	Superior_olivary_complex_periolivary_region	POR	182	306540
123	Kolliker-Fuse_subnucleus	KF	0	0
124	interventricular_foramen	IVF	0	0
125	optic_tract	opt	574	1796826
126	Periventricular_hypothalamic_nucleus_posterior_part	PVp	172	462636
127	Anteromedial_nucleus	AM	37	896724
128	Midbrain_reticular_nucleus	MRN	2180	17458956
129	third_ventricle	V3	977	6353676
130	Superior_central_nucleus_raph�_medial_part	CSm	0	0
131	Lateral_amygdalar_nucleus	LA	216	1486230
132	Prelimbic_area_layer_6b	PL6b	0	42840
133	Periventricular_hypothalamic_nucleus_preoptic_part	PVpo	100	430560
134	pallidotegmental_fascicle	ptf	0	0
135	Nucleus_ambiguus	AMB	0	0
136	Intermediate_reticular_nucleus	IRN	131	8549028
137	Superior_central_nucleus_raph�_lateral_part	CSl	0	0
138	Lateral_group_of_the_dorsal_thalamus	LAT	0	0
139	Entorhinal_area_lateral_part_layer_5	ENTl5	0	0
140	cerebral_aqueduct	AQ	83	2111724
141	Periventricular_region	PVR	0	0
142	pallidothalmic_pathway	pap	0	0
143	Nucleus_ambiguus_ventral_division	AMBv	2	91260
144	Olfactory_tubercle_layers_1-3	OT1-3	0	0
145	fourth_ventricle	V4	86	3760812
146	Pontine_reticular_nucleus	PRNr	662	7836552
147	Locus_ceruleus	LC	1	48456
148	Gustatory_areas_layer_4	GU4	154	402696
149	Paraventricular_nucleus_of_the_thalamus	PVT	528	2003400
150	periventricular_bundle_of_the_hypothalamus	pvbh	0	0
151	Accessory_olfactory_bulb	AOB	0	0
152	Piriform_area_layers_1-3	PIR1-3	0	0
153	lateral_recess	V4r	456	2078100
154	Perihypoglossal_nuclei	PHY	0	0
155	Lateral_dorsal_nucleus_of_thalamus	LD	120	3519036
156	Dorsal_auditory_area_layer_6a	AUDd6a	139	496470
157	Periventricular_zone	PVZ	0	0
158	posterior_commissure	pc	76	284760
159	Anterior_olfactory_nucleus	AON	969	10274616
160	Anterior_olfactory_nucleus_layer_1	AON1	0	0
161	Nucleus_intercalatus	NIS	0	0
162	Laterodorsal_tegmental_nucleus	LDT	12	634176
163	Agranular_insular_area_posterior_part_layer_2/3	AIp2/3	989	2776284
164	central_canal_spinal_cord/medulla	c	3	9000
165	Midbrain_raph�_nuclei	RAmb	0	0
166	premammillary_commissure	pmx	0	0
167	Anterior_olfactory_nucleus_dorsal_part	AONd	0	0
168	Anterior_olfactory_nucleus_layer_2	AON2	0	0
169	Nucleus_prepositus	PRP	35	1014480
170	Dorsal_part_of_the_lateral_geniculate_complex	LGd	606	2460900
171	Prelimbic_area_layer_1	PL1	138	2680236
173	Retrochiasmatic_area	RCH	113	695088
174	preoptic_commissure	poc	0	0
175	Anterior_olfactory_nucleus_external_part	AONe	0	0
177	Nucleus_of_Roller	NR	25	151740
178	Ventral_part_of_the_lateral_geniculate_complex	LGv	620	1215870
179	Anterior_cingulate_area_layer_6a	ACA6a	0	0
180	Gustatory_areas_layer_2/3	GU2/3	378	912996
181	Nucleus_of_reunions	RE	44	2109132
182	propriohypothalamic_pathways	php	0	0
183	Anterior_olfactory_nucleus_lateral_part	AONl	0	0
184	Frontal_pole_cerebral_cortex	FRP	0	0
185	Parapyramidal_nucleus_deep_part	PPYd	0	0
186	Lateral_habenula	LH	300	1492890
187	Gustatory_areas_layer_5	GU5	220	1950192
188	Accessory_olfactory_bulb_glomerular_layer	AOBgl	3	383796
189	Rhomboid_nucleus	RH	7	300420
190	pyramid	py	505	2825496
191	Anterior_olfactory_nucleus_medial_part	AONm	0	0
192	Cortical_amygdalar_area_anterior_part_layer_1	COAa1	0	0
193	Parapyramidal_nucleus_superficial_part	PPYs	0	0
194	Lateral_hypothalamic_area	LHA	2308	8759808
195	Prelimbic_area_layer_2	PL2	0	0
196	Accessory_olfactory_bulb_granular_layer	AOBgr	0	514998
197	Rostral_linear_nucleus_raph�	RL	5	55260
198	pyramidal_decussation	pyd	0	0
199	Anterior_olfactory_nucleus_posteroventral_part	AONpv	0	0
200	Cortical_amygdalar_area_anterior_part_layer_2	COAa2	0	0
201	Primary_somatosensory_area_barrel_field_layer_2/3	SSp-bfd2/3	2333	3170880
202	Medial_vestibular_nucleus	MV	132	5943780
203	Linear_nucleus_of_the_medulla	LIN	1	75384
204	Accessory_olfactory_bulb_mitral_layer	AOBmi	1	759384
205	retriculospinal_tract_lateral_part	rstl	0	0
206	Nucleus_raph�_magnus	RM	78	720000
207	Area_postrema	AP	1	229680
208	Cortical_amygdalar_area_anterior_part_layer_3	COAa3	0	0
209	Lateral_vestibular_nucleus	LAV	1	373140
210	Lateral_mammillary_nucleus	LM	12	88812
211	Anterior_cingulate_area_dorsal_part_layer_2/3	ACAd2/3	862	3836520
212	Main_olfactory_bulb_glomerular_layer	MOBgl	0	0
213	retriculospinal_tract_medial_part	rstm	0	0
214	Red_nucleus	RN	415	2368260
215	Anterior_pretectal_nucleus	APN	296	3360888
216	Cortical_amygdalar_area_posterior_part_lateral_zone_layer_1	COApl1	0	0
217	Superior_vestibular_nucleus	SUV	33	884772
218	Lateral_posterior_nucleus_of_the_thalamus	LP	290	3060408
219	Somatomotor_areas_Layer_2/3	MO2/3	0	0
220	Main_olfactory_bulb_granule_layer	MOBgr	0	0
221	rubroreticular_tract	rrt	0	0
222	Nucleus_raph�_obscurus	RO	10	121500
223	Arcuate_hypothalamic_nucleus	ARH	277	842148
224	Cortical_amygdalar_area_posterior_part_lateral_zone_layer_2	COApl2	0	0
225	Spinal_vestibular_nucleus	SPIV	44	1890936
226	Lateral_preoptic_area	LPO	600	3309660
227	Anterior_cingulate_area_layer_6b	ACA6b	0	0
228	Main_olfactory_bulb_inner_plexiform_layer	MOBipl	0	0
229	sensory_root_of_the_trigeminal_nerve	sV	0	0
230	Nucleus_raph�_pallidus	RPA	4	194220
231	Anterior_tegmental_nucleus	AT	0	79200
232	Cortical_amygdalar_area_posterior_part_lateral_zone_layer_3	COApl3	0	0
233	Anterolateral_visual_area_layer_5	VISal5	356	617364
234	Temporal_association_areas_layer_4	TEa4	582	870210
235	Lateral_reticular_nucleus	LRN	156	1591632
236	Main_olfactory_bulb_mitral_layer	MOBmi	0	0
237	solitary_tract	ts	3	65988
238	Nucleus_raph�_pontis	RPO	4	224100
239	Anterior_group_of_the_dorsal_thalamus	ATN	0	0
240	Cortical_amygdalar_area_posterior_part_medial_zone_layer_1	COApm1	0	0
241	Posterior_parietal_association_areas_layer_2/3	PTLp2/3	0	0
242	Lateral_septal_nucleus	LS	0	0
243	Dorsal_auditory_area_layer_6b	AUDd6b	10	79116
244	Main_olfactory_bulb_outer_plexiform_layer	MOBopl	0	0
245	spinocervical_tract	scrt	0	0
246	Midbrain_reticular_nucleus_retrorubral_area	RR	140	1248192
247	Auditory_areas	AUD	0	0
248	Cortical_amygdalar_area_posterior_part_medial_zone_layer_2	COApm2	0	0
249	Posterior_auditory_area_layer_6a	AUDpo6a	118	276156
250	Lateral_septal_nucleus_caudal_(caudodorsal)_part	LSc	50	2399256
251	Primary_auditory_area_layer_2/3	AUDp2/3	693	1360680
252	Dorsal_auditory_area_layer_5	AUDd5	437	998550
253	spinohypothalamic_pathway	shp	0	0
254	Retrosplenial_area	RSP	0	0
255	Anteroventral_nucleus_of_thalamus	AV	62	1308312
256	Cortical_amygdalar_area_posterior_part_medial_zone_layer_3	COApm3	0	0
257	posteromedial_visual_area_layer_6a	VISpm6a	202	463680
258	Lateral_septal_nucleus_rostral_(rostroventral)_part	LSr	556	8462628
259	Entorhinal_area_medial_part_ventral_zone_layer_1	ENTmv1	0	0
